"","K","P","C","O","Fa","G","S","C7D_1_B","C7D_2_T","C7D_2_B","C7D_3_B","C7D_4_B","C7D_5_T","C8D_1_T","C8D_2_B","C8D_2_T","A4D_1_B","A4D_1_T","A4D_2_B","A4D_2_T","A4D_3_B","A4D_3_T","A4D_4_B","A4D_4_T","A4D_5_B","A4D_5_T","A4L_1_NA","A4L_3_NA","A4L_5_NA","A4S_NA_NA","A5D_1_T","A5D_2_T","A5D_3_T","A5D_4_B","A5D_4_T","A5D_5_B","A5D_5_T","A5L_2_NA","A5L_3_NA","A5L_4_NA","A5L_5_NA","A5S_NA_NA","A2D_1_B","A2D_1_T","A2D_2_B","A2D_3_B","A2D_3_T","A2D_4_B","A2D_4_T","A2D_5_B","A2D_5_T","A2L_1_NA","A2L_2_NA","A2L_3_NA","A2L_4_NA","A2L_5_NA","A2S_NA_NA","C4D_1_B","C4D_1_T","C4D_2_B","C4D_2_T","C4D_3_B","C4D_3_T","C4D_4_B","C4D_4_T","C4D_5_B","C4D_5_T","C4L_1_NA","C4L_2_NA","C4L_4_NA","C4S_NA_NA","A6D_1_B","A6D_1_T","A6D_2_B","A6D_2_T","A6D_3_B","A6D_3_T","A6D_4_B","A6D_4_T","A6D_5_B","A6D_5_T","A6L_1_NA","A6L_2_NA","A6L_5_NA","A6S_NA_NA","C5D_1_B","C5D_1_T","C5D_2_B","C5D_2_T","C5D_3_B","C5D_4_B","C5D_4_T","C5D_5_B","C5L_3_NA","C5L_4_NA","C5L_5_NA","C5S_NA_NA","GOD_5_B","GOD_5_T","GOL_1_NA","GOL_2_NA","GOL_3_NA","GOL_4_NA","GOL_5_NA","GOS_NA_NA","GMD_1_B","GMD_1_T","GMD_2_B","GMD_4_B","GMD_4_T","GMD_5_B","GMD_5_T","GML_1_NA","GML_3_NA","GML_4_NA","GML_5_NA","GMS_NA_NA","ROD_1_B","ROD_1_T","ROD_2_B","ROD_3_B","ROD_4_B","ROD_4_T","ROD_5_B","ROD_5_T","ROL_2_NA","ROL_4_NA","ROL_5_NA","RMD_2_B","RMD_2_T","RMD_3_B","RMD_4_B","RMD_4_T","RMD_5_B","RMD_5_T","RML_1_NA","RML_2_NA","RML_3_NA","RML_5_NA","C7D_5_B","C8D_1_B","A4L_2_NA","A4L_4_NA","A5D_1_B","A5L_1_NA","C4L_3_NA","C4L_5_NA","A6L_3_NA","A6L_4_NA","C5D_3_T","C5L_1_NA","C5D_5_T"
"6009","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Cosmospora","Cosmospora_aquatica","0","3","39","0","0","2","0","51","0","1","0","9","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0","0","1","0","22","0","0","0","0","0","0","0","0","8","0","0","6","0","0","0","0","3","0","0","0","12","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"6010","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Cosmospora","Cosmospora_arxii","0","0","1","0","0","0","9","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","1","0","0","0","0","0","0","0","0","0","0","9","0","1","7","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","195","0","0","0","0","5","0","0","0","0","0","0","17","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","2","11","0","0","0","0","0","0","0","0","0","0","0"
"6011","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Cosmospora","Cosmospora_berkeleyana","1","2","2","1","78","3","2","1","3","3","14","1","7","6","63","5","6","0","0","2","0","11","1","0","14","7","48","51","3","16","1","10","0","103","1","0","1","0","3","1","28","8","24","0","2","80","1","0","4","0","7","48","4","1","18","3869","1","1","16","1","4","2","1","2","9","4","1","13","1","0","118","47","1","3","49","2","0","254","54","4","4","0","1","46","3","1","1","26","9357","0","17","1","13","1","0","0","2","24","2","9","10","0","0","4","0","1","1","14","1","0","0","12","0","27","7","2","2909","1","1","0","0","0","0","0","0","1","0","2","1","1","0","0","7","16","1","1","1","0","0","2","1","6","0","0","0"
"6013","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Cosmospora","Cosmospora_coccinea","0","0","738","0","0","0","0","0","0","2","1","1","0","0","0","0","0","1164","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","1","0","2","0","0","0","1","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","174","0","0","0","0","3","0","0","4","0","0","0","0","0","0","0","0","0","10","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","460","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","1","0","0","0","0","0","0","0","0","0","0","0"
"6015","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Cosmospora","Cosmospora_flavoviridis","0","2","9","0","0","0","0","0","0","1","1","0","1","0","13","0","0","0","1","4","0","0","1","0","3","21","0","0","0","0","0","0","0","23","110","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","61","3","0","0","0","0","0","0","0","0","3","0","0","0","0","17","19","1","128","0","0","1","2","0","0","1","0","1","2","0","0","8","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","309","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"6016","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Cosmospora","Cosmospora_fomiticola","0","0","4","0","0","0","1","0","0","47","0","0","0","0","7","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","7","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"6017","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Cosmospora","Cosmospora_khandalensis","1","0","124","0","0","9","8","0","1","12","14","0","0","0","0","16","0","0","1","0","0","0","0","0","2","0","2","2","0","0","0","0","0","4","0","0","0","0","0","13","0","0","0","0","0","39","0","15","0","0","16","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0","96","0","0","1","0","0","0","0","2","0","0","5","0","2","0","1","0","0","0","19","0","0","0","0","424","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","83","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0"
"6018","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Cosmospora","Cosmospora_lavitskiae","0","0","135","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","2","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","0","0","0","0","0","4","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","4","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"6019","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Cosmospora","Cosmospora_micropedis","0","0","8","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","63","0","0","0","0","0","46","0","4","0","0","0","0","0","0","0","0","0","2","1","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","1","0","0","0","0","0","0","0","0","0","0","36"
"6020","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Cosmospora","Cosmospora_obscura","2","2","44","3","2","96","58","2","0","1","2","2","0","48","1","1","0","1","0","628","2","10","4","4","2","310","0","1","53","0","6","58","0","11","5","18","0","2","1","6","5","67","0","134","1","1","0","1","1","2","0","10","0","0","3","5","0","177","0","930","0","0","29","0","0","7","45","55","1","1","3","5","4","11","86","1","27","59","82","5","12","17","1","1","3","33","561","10","0","0","2","6","13","1","0","0","6","1","78","5","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","15","817","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","0","0","0","0","0","41650","0","0","0","0","0"
"6021","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Cosmospora","Cosmospora_sp","16","57","532","1","4","8","2","5","5","1","30","3","1","2","8","2","3","4","1","13","1","5","10","1","17","144","2","1","8","12","2","3","3","75","16","11","207","1","3","1","8","1","65","1","2","3","15","14","1","4","1","17","1","2","2","1504","3","4","1","1","10","1","3","7","14","63","37","22","9","1","16","1","1","29","433","9","2","2","7","2","180","39","1","4","73","2","17","145","2","3","1","14","4","2","0","8","1","3","447","1","1","7","2","0","171","0","12","3","1","5","1","1","1","5","364","3","20","1","16","0","2","0","1","2","1","1","4","1","1","6","72","10","31","3","2","3","13","325","0","5","3","1","16","4","1"
"6022","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Cosmospora","Cosmospora_stegonsporii","0","0","4","2","0","0","8","0","1","1","1428","1","1","2","0","5","0","0","0","0","0","0","2","0","2","0","0","0","1","0","1","7","13","0","0","0","28","4","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","1094","2","0","0","0","5","0","1","1","8","0","1","12","15","0","6","1","0","0","0","5","33","0","1","1","1","1","0","0","7","2","1","0","0","0","0","0","52","0","0","0","0","0","0","0","13","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","35","6","0","0","0","0","0","0","0","0","0","0","0"
"6024","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Cosmospora","Cosmospora_stilbosporae","0","0","15","0","0","0","1203","0","0","1","3","0","0","0","0","8","1","0","0","0","1","0","0","5","0","14","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","2","0","0","0","6","0","0","0","142","3","0","25","2","0","0","0","6","1","0","1","0","0","0","2","0","0","0","0","22","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0"
"6026","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Cosmospora","Cosmospora_viliuscula","1","1","6","1","4","0","4","0","0","27","0","1","0","35","0","2","1","12","0","40","0","0","51","3","1","22","0","0","26","0","6","0","0","0","0","6","0","4","5","1","0","0","1","0","0","28","4","0","11","0","0","0","0","2","4","0","0","3","2","1","1","0","0","0","13","1","1","0","1","0","0","99","0","0","0","37","93","1","21","0","2388","2","0","0","11","0","0","37","0","0","38","10","0","0","0","0","16","1","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","11","0","0","0","0","0","0","0","0","0"
"6027","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Cosmospora","Cosmospora_viridescens","0","1","2","1","2","1","1","3","7","1","1","1","1","8","1","1","1","7","1","1","6","2","1","1","2","7","1","12","1","0","3","2","2","4","4","34","2","3","5","148","2","4","4","37","1","2","4","1","90","6","4","30","1","1","21","3","1","6","1","4","37","1","3","7","2","1","17","10","1","6","1","1","1","22","18","1","32","3","3","3","7","2","1","40","3","1","19","3","1","1","1","2","1","12","0","7","1","2","7","2","0","0","2","1","2251","0","0","0","7","1","0","0","0","2","6","1","9","6","0","0","6","0","0","0","0","10","85","0","40","0","3","31","1","32","1","142","80","1","0","0","63","1","0","0","3"
"6032","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Cylindrocladiella","Cylindrocladiella_sp","0","0","3","0","0","0","0","0","0","213","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","2","6952","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","79","0","1","0","0","0","0","0","0","0","0","24","0","0","0"
"6039","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Cylindromonium","Cylindromonium_lichenicola","0","0","7","0","0","0","0","4","0","0","1","105","0","3","0","0","2","0","11","0","0","0","0","1","0","1","1","0","0","0","0","147","0","0","0","1","0","1","86","0","33","0","62","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","4","0","0","0","14","0","0","1","0","2","1","1","67","4","0","0","2","2","1","31","4","0","0","0","0","0","0","0","0","219","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0"
"6042","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Dialonectria","Dialonectria_sp","0","0","6","0","0","0","1","0","0","4","6","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0"
"6046","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_avenaceum","0","0","0","0","0","2","0","0","11","0","13","2","0","0","0","16","2","0","0","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","8","0","0","0","0","79","22","0","0","0","4","0","0","0","0","0","1","0","0","0","2","2","1","0","0","0","11","0","0","0","103","0","11","0","0","0","5","0","0","6","88","2","0","0","6","141","2","1","0","0","0","133","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6050","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_equiseti","1","1","0","0","0","0","0","0","10","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","38","0","0","0","0","0","11","0","0","0","0","0","7","17","1","0","0","0","29","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","11","0","1","0","0","0","1","6","2","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","45","0","0","0","0","24","0","0","0","0","0","0","0","0","0","0","0"
"6052","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_fujikuroi","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","20","0"
"6059","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_oxysporum","0","0","20","1","0","0","0","0","26","159","210","3","0","1","6","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","133","0","75","0","2","0","8","1","4","6","8","28","0","0","0","0","0","0","1","12","0","0","0","2","0","0","0","0","0","0","0","0","5","0","18","0","0","1","0","0","0","0","0","0","3","0","1","0","0","0","1126","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","1","0","0","0","0","0","0","16","0","1","2"
"6062","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_pseudensiforme","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","375","0","0","0","0","43","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6064","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_solani","6","44","447","1","0","1","5","1","5","0","0","1","18","2","0","1","0","45","1","0","0","0","3","0","0","1","0","0","2","0","1","0","0","0","0","6","0","0","0","1","0","0","1","0","0","2","0","2","0","0","0","0","15","0","0","0","3","0","0","0","0","0","10","1","0","0","0","1","0","0","0","0","1","2","601","70","18","2","1","0","2","8","0","0","0","0","0","5","16","8","1","0","2","3","0","0","0","1","1","72","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","69","0","0","0","0","0","2","1","15","3","0","0","0","1","0","14","24"
"6065","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_sp","0","2","6","1","1","1","0","4","2","2","5","1","1","18","1","7","1","1","35","0","70","33","23","3","0","1","1","4","233","2","19","0","1","0","1","1","3","2","1","1","1","7","0","1","209","112","7","1","1","1","1","45","0","2","6","2","0","1","0","1","3","1","2","1","1","2","3","20","0","1","2","0","1","9","206","5","3","1","1","19","67","1","5","1","1","2","4","16","64","57","1","1","1","1","0","5","2","173","111","1","8","0","208","42","25","1205","0","0","12","185","55","261","2","3","1","1","1","2","3","0","4","5","538","939","1","4","4","0","99","2","1","4","12","5","47","13","200","2","9","11","0","11","30","32","1"
"6067","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_tricinctum","3","40","21","1","1","1","0","198","1","3","12","31","4","29","2","1","9","2","0","0","1","1","188","0","1","1","103","86","1","3","12","4","0","5","1","7","1","39","1","3","2","2","4","1","1","1","1","1","15","48","83","1","0","6","9","36","1","1","1","138","3","0","44","1","2","1","1","0","6","6","1","14","1","1","28","1","27","694","3","2","0","56","0","2","1","2","68","1","2","39","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","81","0","0","0","0","0","0","0","0","0"
"6074","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusicolla","Fusicolla_sp","0","5","1","13","0","0","1","0","0","1","0","3","0","0","0","0","0","0","1","0","3","0","0","9","0","0","0","0","0","5","0","0","0","22","0","0","1","2","0","1","0","0","0","0","0","0","0","2","0","0","0","0","15","0","0","1","1","0","2","35","114","0","1","10","0","0","1826","0","0","0","0","0","0","45","131","0","0","6","0","2","20","3","11","0","0","0","0","1","69","0","0","0","0","0","0","0","0","0","0","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","155","2","0","0","0","0","0","0","0","0","0","0"
"6076","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Gibberella","Gibberella_sp","1","215","0","57","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","91","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6080","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Gliocephalotrichum","Gliocephalotrichum_grande","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","116","0","0","0","1","0","0","0","1","0","0","0","0","0","0","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6086","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Ilyonectria","Ilyonectria_destructans","1","0","1","0","0","0","0","0","0","79","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","1","0","0","0","0","5","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"6088","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Ilyonectria","Ilyonectria_sp","0","0","1","0","0","0","0","0","0","2","0","0","0","28","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","12","2","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6090","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Mariannaea","Mariannaea_aquaticola","0","17","6","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","2","0","0","0","0","0","0","12","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","1","1","30","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","4","0","2","1","1","0","0","0","0","0","5","0","0","4","0","0","0","0","2","0","52","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6091","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Mariannaea","Mariannaea_atlantica","21","1","0","0","0","0","0","0","0","11457","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","1","0","5","0","1","0","0","0","0","0","0","0","0","3","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"6093","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Mariannaea","Mariannaea_camptospora","10","2","2","2","1","856","1","1","1","4","11","2","3","24","979","12","16","2","1","70","103","2","6","12","3","5","1","2","6","1","32","10","8","1","335","1","1","3","5","5","3","2","2","3","7","322","1","7","10","5","5","1","13","1","61","4","19","11","2","4","139","1","6","2","5","0","2","1","26","1","2","1","3","30","3","5","1","94","1","43","1005","1","1","6","1","1","1","1","95","1","1","4","2","1","0","0","9","2","17","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80","0","1","0","0","0","0","0","0","0","0","0","0","0","154","0","0","0","0","4","1","2","0","0","0","0","0","0","0","0","0"
"6095","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Mariannaea","Mariannaea_dimorpha","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","6","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","111","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","116","0","3","0","2","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6096","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Mariannaea","Mariannaea_elegans","61","3","18","1","11","16","11","1","1","4693","32","4","1","8","2","1","11","1","183","1","8","5","6","63","2","1","3","21","14","2","120","25","57","1358","7","3","8","1","27","1","9","9","2","1","54","1","7","4","6","1","1","5","2","1","7","1","10","46","5","3","10665","8","1","10","1","3","1","3","12","1","1","1","2","4","219","5","3","112","108","1","42","17","1","1","5","2","3","1","2","6","47","1","3","1062","0","0","5","1","5","1","33","0","0","20193","0","5","0","5","7","0","16","1","6","0","1","4","4","0","1","0","13","0","0","7","5","1","0","0","5","2","0","0","1","1","1","1","51","3","0","40","0","2","0","0","9"
